,heartrate
2023-03-06 21:50:00,52.0
2023-03-06 21:52:00,51.0
2023-03-06 21:54:00,49.0
2023-03-06 21:56:00,50.0
2023-03-06 21:58:00,50.0
2023-03-06 22:00:00,49.0
2023-03-06 22:02:00,48.0
2023-03-06 22:04:00,49.0
2023-03-06 22:06:00,49.0
2023-03-06 22:08:00,52.0
2023-03-06 22:10:00,50.0
2023-03-06 22:12:00,48.0
2023-03-06 22:14:00,49.0
2023-03-06 22:16:00,49.0
2023-03-06 22:18:00,48.0
2023-03-06 22:20:00,49.0
2023-03-06 22:22:00,50.0
2023-03-06 22:24:00,50.0
2023-03-06 22:26:00,49.0
2023-03-06 22:28:00,50.0
2023-03-06 22:30:00,50.0
2023-03-06 22:32:00,50.0
2023-03-06 22:34:00,50.0
2023-03-06 22:36:00,50.0
2023-03-06 22:38:00,50.0
2023-03-06 22:40:00,50.0
2023-03-06 22:42:00,53.0
2023-03-06 22:44:00,52.0
2023-03-06 22:46:00,50.0
2023-03-06 22:48:00,48.0
2023-03-06 22:50:00,47.0
2023-03-06 22:52:00,47.0
2023-03-06 22:54:00,47.0
2023-03-06 22:56:00,46.0
2023-03-06 22:58:00,47.0
2023-03-06 23:00:00,48.0
2023-03-06 23:02:00,48.0
2023-03-06 23:04:00,48.0
2023-03-06 23:06:00,48.0
2023-03-06 23:08:00,48.0
2023-03-06 23:10:00,48.0
2023-03-06 23:12:00,48.0
2023-03-06 23:14:00,48.0
2023-03-06 23:16:00,50.0
2023-03-06 23:18:00,52.0
2023-03-06 23:20:00,50.0
2023-03-06 23:22:00,50.0
2023-03-06 23:24:00,50.0
2023-03-06 23:26:00,48.0
2023-03-06 23:28:00,49.0
2023-03-06 23:30:00,49.0
2023-03-06 23:32:00,49.0
2023-03-06 23:34:00,49.0
2023-03-06 23:36:00,50.0
2023-03-06 23:38:00,51.0
2023-03-06 23:40:00,54.0
2023-03-06 23:42:00,52.0
2023-03-06 23:44:00,52.0
2023-03-06 23:46:00,52.0
2023-03-06 23:48:00,53.0
2023-03-06 23:50:00,49.0
2023-03-06 23:52:00,49.0
2023-03-06 23:54:00,50.0
2023-03-06 23:56:00,49.0
2023-03-06 23:58:00,49.0
2023-03-07 00:00:00,50.0
2023-03-07 00:02:00,50.0
2023-03-07 00:04:00,49.0
2023-03-07 00:06:00,49.0
2023-03-07 00:08:00,47.0
2023-03-07 00:10:00,48.0
2023-03-07 00:12:00,47.0
2023-03-07 00:14:00,46.0
2023-03-07 00:16:00,46.0
2023-03-07 00:18:00,46.0
2023-03-07 00:20:00,47.0
2023-03-07 00:22:00,46.0
2023-03-07 00:24:00,46.0
2023-03-07 00:26:00,46.0
2023-03-07 00:28:00,46.0
2023-03-07 00:30:00,46.0
2023-03-07 00:32:00,47.0
2023-03-07 00:34:00,46.0
2023-03-07 00:36:00,46.0
2023-03-07 00:38:00,47.0
2023-03-07 00:40:00,46.0
2023-03-07 00:42:00,46.0
2023-03-07 00:44:00,47.0
2023-03-07 00:46:00,46.0
2023-03-07 00:48:00,47.0
2023-03-07 00:50:00,47.0
2023-03-07 00:52:00,47.0
